         3508955 function calls (3465220 primitive calls) in 14.706 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\geometry\util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\symbolic_opset13.py:27(_apply)
       12    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\utilities\misc.py:305(func_name)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\calibrate.py:154(CalibrationMethod)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\nn\quantized\modules\__init__.py:1(<module>)
       31    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:916(args)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\optim\lbfgs.py:183(LBFGS)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\_hook_iterator.py:8(_SnapshotState)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\version.py:1(<module>)
       11    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\profiler\_utils.py:50(EventKey)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\compatibility.py:231(IPolys)
       37    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\pathlib.py:600(_from_parsed_parts)
      154    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:1700(leave_whitespace)
        2    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\optree\typing.py:164(_tp_cache)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._nn._parse_to}
      257    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\hmac.py:20(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\datapipe.py:391(DataChunk)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\map\grouping.py:10(BatcherMapDataPipe)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchgen\model.py:2390(__str__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\convnext.py:209(ConvNeXt_Tiny_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\kind.py:190(KindDispatcher)
       93    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\compat\_inspect.py:131(strseq)
       97    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:1868(streamline)
       29    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\__init__.py:100(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributions\negative_binomial.py:15(NegativeBinomial)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\evalf.py:1390(_create_evalf_table)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\_stdlib.py:1(<module>)
      257    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_meta_registrations.py:4827(GridSamplerInterpolation)
       10    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:964(__mro_entries__)
       42    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:2328(_namedtuple_mro_entries)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\ma\core.py:6508(__array_finalize__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\backend_managers.py:32(ToolManager)
        6    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\functions\special\bessel.py:835(assume_integer_order)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\domains\compositedomain.py:1(<module>)
        3    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:3488(__init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_functorch\_aot_autograd\schemas.py:89(MutationType)
       25    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\polyoptions.py:62(__init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\solvers\ode\hypergeometric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\package\file_structure_representation.py:1(<module>)
       19    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\platform.py:908(system)
       36    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\masked\maskedtensor\binary.py:153(_torch_binary)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\image_list.py:1(<module>)
      276    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\helpers.py:259(<lambda>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\patches.py:1585(Ellipse)
       31    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:4100(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\map\combining.py:10(ConcaterMapDataPipe)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\mobilenetv2.py:66(MobileNet_V2_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\cuda\profiler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\core\_machar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_prims_common\__init__.py:1343(RETURN_TYPE)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\output_graph.py:159(GraphCompileReason)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\hub.py:130(_get_torch_home)
        6    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\experimental\sym_node.py:1115(_make_node_sizes_strides)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_address.py:12(Address)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\_sympy\value_ranges.py:84(ValueRanges)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\vgg.py:117(VGG11_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\lib\arrayterator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\astunparse\printer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\sampler.py:196(WeightedRandomSampler)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\optree\typing.py:178(PyTree)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\_infra.py:231(__post_init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\squeezenet.py:124(SqueezeNet1_0_Weights)
       39    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\lib\_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\passes\operator_support.py:177(OpSupports)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\variables\base.py:14(MutableLocalSource)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\backends\registry.py:5(BackendFilter)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_artifact.py:17(Artifact)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\segmentation\deeplabv3.py:141(DeepLabV3_ResNet50_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\mnasnet.py:221(MNASNet0_5_Weights)
      174    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:1074(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\utilities\misc.py:1(<module>)
       62    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\patches.py:2357(_register_style)
        3    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchgen\utils.py:488(__or__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_vendor\packaging\version.py:159(Version)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\dateutil\tz\tz.py:1470(__get_gettz)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_functorch\apis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_linalg_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\mnasnet.py:242(MNASNet0_75_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\segmentation\fcn.py:60(FCN_ResNet50_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\quant_utils.py:78(QuantizedValueType)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\quant_utils.py:131(QuantFormat)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\alexnet.py:55(AlexNet_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\utils.py:1892(TensorStaticReason)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\shufflenetv2.py:170(ShuffleNet_V2_X1_5_QuantizedWeights)
       25    0.000    0.000    0.000    0.000 {built-in method unicodedata.name}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\convnext.py:229(ConvNeXt_Small_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\variables\higher_order_ops.py:542(CondHigherOrderVariable)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\unittest\result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\efficientnet.py:439(EfficientNet_B0_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\inception.py:410(Inception_V3_Weights)
        9    0.000    0.000    0.000    0.000 {built-in method torch._C._dispatch_keyset_full}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\retinanet.py:680(RetinaNet_ResNet50_FPN_Weights)
      315    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._multiprocessing_init}
       10    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchgen\model.py:2025(__str__)
        6    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\core\numbers.py:3565(__hash__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\video\swin_transformer.py:512(Swin3D_T_Weights)
        3    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_custom_op\autograd.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method _make_wrapper_subclass}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\testing\_comparison.py:608(TensorLikePair)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\densenet.py:287(DenseNet161_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_functorch\autograd_function.py:639(__init__)
       42    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\_typing.py:277(__init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\operators\attention.py:1(<module>)
        6    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\lib\function_base.py:2268(__init__)
      105    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\_docstring.py:114(copy)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\fx\passes\reinplace.py:17(_ViewType)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\unicode.py:75(nums)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\cpu\amp\grad_scaler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_region.py:16(Region)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\swin_transformer.py:702(Swin_B_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\inception.py:169(Inception_V3_QuantizedWeights)
       66    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\iter\sharding.py:17(SHARDING_PRIORITIES)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\sarif\_web_request.py:15(WebRequest)
       36    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributions\constraints.py:176(__init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\mobilenetv3.py:161(MobileNet_V3_Large_QuantizedWeights)
       16    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\rcsetup.py:96(_listify_validator)
        5    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\datapipes\datapipe.py:275(register_datapipe_as_function)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\eval_frame.py:550(__init__)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\matplotlib\tri\_triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\datasets\mnist.py:259(EMNIST)
        3    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\dataclasses.py:1187(fields)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\swin_transformer.py:652(Swin_T_Weights)
        4    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\random.py:128(seed)
        3    0.000    0.000    0.000    0.000 {built-in method torch._ops.torchvision._cuda_version}
       27    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_decomp\__init__.py:137(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\fractions.py:38(Fraction)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\operators\embed_layernorm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:3757(And)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\helpers.py:703(OpAssoc)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\densenet.py:267(DenseNet121_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\resnet.py:164(ResNet18_QuantizedWeights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\quantization\shufflenetv2.py:128(ShuffleNet_V2_X0_5_QuantizedWeights)
       30    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\PIL\_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\PIL\ImageSequence.py:1(<module>)
        4    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\_pyio.py:1770(close)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\faster_rcnn.py:398(FasterRCNN_ResNet50_FPN_V2_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\segmentation\lraspp.py:96(LRASPP_MobileNet_V3_Large_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\video\s3d.py:154(S3D_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\domains\pythonrationalfield.py:9(PythonRationalField)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\resnet.py:334(ResNet34_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\ml_dtypes\_finfo.py:242(_float6_e2m3fn_finfo)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\ml_dtypes\_finfo.py:698(<dictcomp>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\serialization.py:108(_is_zipfile)
       33    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_dynamo\variables\base.py:407(<listcomp>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\ssdlite.py:187(SSDLite320_MobileNet_V3_Large_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\video\resnet.py:322(R3D_18_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\operators\lstm.py:1(<module>)
      151    0.000    0.000    0.000    0.000 {built-in method gmpy2.gmpy2.fac}
        4    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\symbolic_opset9.py:815(overload_by_arg_count)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\mpmath\functions\hypergeometric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\efficientnet.py:685(EfficientNet_V2_M_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\numpy\core\_add_newdocs_scalars.py:17(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_functorch\utils.py:1(<module>)
       49    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\pyparsing\core.py:2333(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\optree\pytree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\maxvit.py:771(MaxVit_T_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\faster_rcnn.py:377(FasterRCNN_ResNet50_FPN_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\segmentation\fcn.py:81(FCN_ResNet101_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\onnxruntime\quantization\operators\binary_op.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\utils\data\sampler.py:98(SequentialSampler)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\op_schema.py:161(TupleStrategy)
       38    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\multiprocessing\__init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\_guards.py:574(TracingContext)
        1    0.000    0.000    0.000    0.000 C:\Users\genia\AppData\Roaming\Python\Python310\site-packages\mpmath\functions\rszeta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\onnx\_internal\diagnostics\infra\context.py:272(DiagnosticContext)
        2    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\sympy\polys\domains\mpelements.py:94(_make_tol)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\swin_transformer.py:777(Swin_V2_B_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torch\distributed\_tensor\ops\math_ops.py:38(Reduction)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\shufflenetv2.py:193(ShuffleNet_V2_X0_5_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\mask_rcnn.py:358(MaskRCNN_ResNet50_FPN_Weights)
       31    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\typing.py:920(kwargs)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\video\mvit.py:601(MViT_V1_B_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\mnasnet.py:267(MNASNet1_0_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\fcos.py:651(FCOS_ResNet50_FPN_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\mnasnet.py:288(MNASNet1_3_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\resnet.py:312(ResNet18_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\shufflenetv2.py:262(ShuffleNet_V2_X2_0_Weights)
        1    0.000    0.000    0.000    0.000 c:\ProgramData\miniconda3\envs\openmmlab\lib\site-packages\torchvision\models\detection\faster_rcnn.py:419(FasterRCNN_MobileNet_V3_Large_FPN_Weights)
